R_fighter,B_fighter,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs
Uriah Hall,Sean Strickland,USA,Blue,FALSE,Middleweight,MALE,5,0,4,0,5.45,0.4,0.3,1.32,0.61,4,3,33,0,0,2,4,3,1,0,10,185.42,193.04,185,0,4,0,3.47,0.49,0.2,0.58,0.38,4,7,37,0,0,1,1,8,0,0,10,182.88,200.66,185,37,30,0,0,0,0,-4,-4,0,-5,1,25.400.000.000.000.200,-7.620.000.000.000.000,-7,1.98,1.000.000.000.000.000,7.400.000.000.000.000,,Red,U-DEC,,5.0,05:00,1500.0
Cheyanne Buys,Gloria de Paula,USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.39,0.54,1.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,165.1,170.18,115,1,0,0,4.32,0.54,0.0,0.48,0.33,1,1,6,0,0,0,1,0,0,0,1,160.02,160.02,115,26,26,0,0,0,0,0,0,0,0,0,5.079.999.999.999.980,10.159.999.999.999.900,0,-9.300.000.000.000.000,1.0,-0.48,,neither,KO/TKO,Kick,1.0,01:00,60.0
Niklas Stolze,Jared Gooden,USA,Blue,FALSE,Welterweight,MALE,3,2,0,0,05.04,0.42,0.0,0.96,1.0,0,2,6,0,0,0,0,0,0,0,0,182.88,195.58,170,1,0,0,2.29,0.43,0.0,0.93,1.0,0,1,3,0,0,0,0,0,0,0,0,182.88,190.5,170,28,27,1,0,0,0,1,3,0,0,0,0.0,50.800.000.000.000.100,-1,2.75,0.0,299.999.999.999.999,,neither,KO/TKO,Punch,1.0,01:08,68.0
Collin Anglin,Melsik Baghdasaryan,USA,Blue,FALSE,Featherweight,MALE,3,0,1,0,6.69,0.62,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,175.26,177.8,145,0,1,0,5.18,0.54,0.0,2.75,0.8,1,0,3,0,0,0,1,0,0,0,1,175.26,180.34,145,28,29,0,0,0,0,0,0,0,0,0,0.0,-2.539.999.999.999.990,1,1.510.000.000.000.000,0.0,-2.75,,neither,KO/TKO,Kick,2.0,01:50,410.0
Bryan Barberena,Jason Witt,USA,Blue,FALSE,Welterweight,MALE,3,1,0,0,2.63,0.49,1.3,6.46,0.45,1,2,4,0,0,0,0,0,1,0,1,177.8,177.8,170,0,1,0,5.26,0.48,0.4,0.21,0.25,2,5,28,0,0,0,2,3,1,0,6,182.88,182.88,170,32,34,1,-1,-1,-5,-3,-24,0,-3,0,-5.079.999.999.999.980,-5.079.999.999.999.980,2,-2.63,0.9,6.25,,neither,M-DEC,,3.0,05:00,900.0
Chris Gruetzemacher,Rafa Garcia,USA,Red,FALSE,Lightweight,MALE,3,1,0,0,4.13,0.34,0.5,2.5,0.33,0,1,3,0,0,0,0,0,0,0,0,170.18,177.8,155,1,0,0,6.93,0.56,0.0,0.0,0.0,2,3,12,0,0,0,1,2,0,0,3,172.72,172.72,155,35,26,0,0,-2,-3,-2,-9,0,-2,0,-2.539.999.999.999.990,50.800.000.000.000.100,-9,-2.8,0.5,2.5,,neither,U-DEC,,3.0,05:00,900.0
Jinh Yu Frey,Ashley Yoder,USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,03.08,0.39,0.6,1.2,0.3,2,6,27,0,0,1,2,0,0,0,3,170.18,175.26,115,0,1,0,2.86,0.44,0.5,0.78,0.37,1,2,9,0,0,0,1,0,0,0,1,160.02,165.1,115,36,33,1,-1,1,2,4,18,0,0,0,10.159.999.999.999.900,10.159.999.999.999.900,-3,2.200.000.000.000.000,1.000.000.000.000.000,4.199.999.999.999.990,,neither,U-DEC,,3.0,05:00,900.0
Ryan Benoit,Zarrukh Adashev,USA,Blue,FALSE,Flyweight,MALE,3,2,0,0,3.54,0.39,0.5,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,165.1,165.1,125,2,0,0,2.88,0.39,0.4,0.28,0.22,1,5,20,0,0,1,0,2,0,0,3,165.1,172.72,125,31,29,0,0,-1,-3,-3,-16,0,-2,0,0.0,-7.620.000.000.000.000,-2,6.600.000.000.000.000,1.000.000.000.000.000,-0.28,,neither,U-DEC,,3.0,05:00,900.0
Phil Rowe,Orion Cosce,USA,Red,FALSE,Welterweight,MALE,3,0,1,0,3.7,0.55,0.0,1.87,0.42,1,0,3,0,0,0,0,1,0,0,1,180.34,180.34,170,1,0,0,4.97,0.56,0.0,0.87,0.33,1,1,6,0,0,0,0,1,0,0,1,190.5,203.2,170,31,27,-1,1,0,0,-1,-3,0,0,0,-10.159.999.999.999.900,-22.859.999.999.999.900,-4,-12.699.999.999.999.900,0.0,1.0,,neither,KO/TKO,Punches,2.0,04:21,561.0
Cory Sandhagen,TJ Dillashaw,USA,Blue,FALSE,Bantamweight,MALE,5,1,0,0,5.26,0.41,0.8,1.63,0.3,4,4,43,7,0,0,4,7,1,0,12,167.64,170.18,135,0,2,0,6.32,0.47,0.6,0.74,0.44,5,1,15,0,0,1,1,4,1,0,7,180.34,177.8,135,29,35,1,-2,-1,5,3,28,7,3,0,-12.699.999.999.999.900,-7.620.000.000.000.000,6,-10.600.000.000.000.000,0.2,8.899.999.999.999.990,,Red,S-DEC,,5.0,05:00,1500.0
